Date,Open,High,Low,Close,Adj Close,Volume,dates
2008-04-16,8.69,8.85,8.61,8.84,7.873552,18920000,2008-04-16
2008-04-17,8.85,8.87,8.69,8.83,7.864648,15535400,2008-04-17
2008-04-18,8.955,9.16,8.895,9.14,8.140759,24835000,2008-04-18
2008-04-21,9.11,9.11,8.955,9.025,8.038326,30609800,2008-04-21
2008-04-22,8.95,8.98,8.715,8.85,7.882459,21448200,2008-04-22
2008-04-23,8.865,8.93,8.805,8.925,7.949262,33421000,2008-04-23
2008-04-24,7.95,8.09,7.695,7.995,7.120935,143464800,2008-04-24
2008-04-25,8.075,8.085,7.725,7.93,7.063041,39474200,2008-04-25
2008-04-28,7.96,7.965,7.795,7.83,6.973974,24033800,2008-04-28
2008-04-29,7.83,8.18,7.825,8.1,7.214455,28584200,2008-04-29
2008-04-30,8.15,8.3,8.03,8.115,7.227814,34839600,2008-04-30
2008-05-01,7.98,8.445,7.915,8.325,7.414857,42237400,2008-05-01
2008-05-02,8.5,8.55,8.125,8.23,7.330243,31554400,2008-05-02
2008-05-05,8.2,8.29,8.1,8.17,7.276802,25076400,2008-05-05
2008-05-06,8.11,8.28,8.055,8.18,7.285711,27252000,2008-05-06
2008-05-07,8.2,8.23,7.96,7.975,7.10312,30410400,2008-05-07
2008-05-08,8.005,8.05,7.86,7.925,7.058588,40002000,2008-05-08
2008-05-09,7.89,7.985,7.84,7.93,7.063041,27256800,2008-05-09
2008-05-12,7.95,8.025,7.92,8.02,7.143202,24593400,2008-05-12
2008-05-13,8.04,8.04,7.85,7.975,7.10312,21655800,2008-05-13
2008-05-14,7.97,8.065,7.935,7.96,7.08976,21805000,2008-05-14
2008-05-15,7.915,8.115,7.915,8.035,7.156561,17179800,2008-05-15
2008-05-16,8.275,8.53,8.225,8.525,7.592992,52628800,2008-05-16
2008-05-19,8.525,8.72,8.495,8.535,7.601898,35662400,2008-05-19
2008-05-20,8.42,8.475,8.265,8.42,7.499474,41388400,2008-05-20
2008-05-21,8.465,8.48,8.325,8.34,7.428217,26748800,2008-05-21
2008-05-22,8.34,8.645,8.3,8.545,7.610804,33175600,2008-05-22
2008-05-23,8.545,8.55,8.35,8.475,7.548458,25964200,2008-05-23
2008-05-27,8.5,8.795,8.48,8.755,7.797844,27886400,2008-05-27
2008-05-28,8.8,8.94,8.525,8.915,7.940356,30698600,2008-05-28
2008-05-29,8.915,9.205,8.915,9.165,8.163021,24756000,2008-05-29
2008-05-30,9.19,9.205,9.0,9.095,8.100676,24012800,2008-05-30
2008-06-02,9.085,9.085,8.815,8.965,7.984887,21754400,2008-06-02
2008-06-03,8.965,9.065,8.7,8.875,7.904727,26152400,2008-06-03
2008-06-04,8.86,9.17,8.86,9.06,8.069503,31830800,2008-06-04
2008-06-05,9.075,9.26,9.005,9.26,8.247638,27324800,2008-06-05
2008-06-06,9.175,9.175,8.82,8.835,7.869099,24473000,2008-06-06
2008-06-09,8.855,9.1,8.685,8.76,7.802299,33576800,2008-06-09
2008-06-10,8.665,8.965,8.625,8.92,7.944806,19522600,2008-06-10
2008-06-11,8.97,8.97,8.775,8.785,7.824567,22702200,2008-06-11
2008-06-12,8.88,9.03,8.83,8.91,7.935901,17143800,2008-06-12
2008-06-13,8.975,9.1,8.915,9.085,8.091768,21820800,2008-06-13
2008-06-16,9.005,9.28,8.945,9.175,8.171928,16590000,2008-06-16
2008-06-17,9.185,9.235,9.035,9.06,8.069503,12739000,2008-06-17
2008-06-18,9.0,9.045,8.83,8.885,7.913636,16905200,2008-06-18
2008-06-19,8.865,9.03,8.69,8.995,8.011609,18431600,2008-06-19
2008-06-20,8.885,8.91,8.59,8.615,7.673151,26132400,2008-06-20
2008-06-23,8.63,8.745,8.135,8.15,7.258989,39204200,2008-06-23
2008-06-24,8.18,8.46,8.125,8.285,7.37923,25527600,2008-06-24
2008-06-25,8.31,8.645,8.305,8.555,7.619714,24341600,2008-06-25
2008-06-26,8.375,8.415,8.135,8.14,7.250083,24541400,2008-06-26
2008-06-27,8.15,8.285,7.97,8.175,7.281256,33553000,2008-06-27
2008-06-30,8.095,8.165,7.865,7.87,7.009601,25946600,2008-06-30
2008-07-01,7.78,7.86,7.64,7.81,6.95616,40935400,2008-07-01
2008-07-02,8.015,8.025,7.765,7.84,6.98288,47698400,2008-07-02
2008-07-03,7.79,7.895,7.6,7.78,6.92944,21117200,2008-07-03
2008-07-07,7.795,7.805,7.415,7.475,6.657784,36304600,2008-07-07
2008-07-08,7.375,7.735,7.325,7.67,6.831466,40734800,2008-07-08
2008-07-09,7.655,7.7,7.36,7.36,6.555358,25351400,2008-07-09
2008-07-10,7.375,7.43,7.11,7.185,6.399488,28525200,2008-07-10
2008-07-11,7.09,7.185,6.815,7.03,6.261434,37095000,2008-07-11
2008-07-14,7.105,7.14,6.885,7.0,6.234715,26633200,2008-07-14
2008-07-15,6.88,6.935,6.665,6.79,6.047674,50704600,2008-07-15
2008-07-16,6.765,7.235,6.72,7.17,6.386127,31135000,2008-07-16
2008-07-17,6.92,7.245,6.885,7.195,6.408396,26708600,2008-07-17
2008-07-18,7.195,7.29,7.075,7.17,6.386127,19601600,2008-07-18
2008-07-21,7.18,7.24,7.02,7.045,6.274795,14497600,2008-07-21
2008-07-22,7.035,7.6,7.015,7.565,6.737945,30885200,2008-07-22
2008-07-23,7.615,8.015,7.51,7.71,6.867092,35591400,2008-07-23
2008-07-24,7.575,7.61,7.265,7.27,6.475196,27351600,2008-07-24
2008-07-25,7.365,7.47,7.175,7.21,6.421755,21248200,2008-07-25
2008-07-28,7.155,7.285,7.035,7.115,6.337141,20888400,2008-07-28
2008-07-29,7.15,7.695,7.095,7.495,6.675599,32637400,2008-07-29
2008-07-30,7.535,7.545,7.21,7.335,6.53309,36695200,2008-07-30
2008-07-31,7.275,7.575,7.255,7.345,6.541997,39620600,2008-07-31
2008-08-01,7.45,7.46,7.115,7.21,6.421755,25894800,2008-08-01
2008-08-04,7.215,7.22,7.005,7.03,6.261434,30709600,2008-08-04
2008-08-05,7.145,7.285,7.12,7.26,6.466289,35000000,2008-08-05
2008-08-06,7.24,7.48,7.175,7.47,6.653332,27334800,2008-08-06
2008-08-07,7.315,7.42,7.245,7.26,6.466289,18828200,2008-08-07
2008-08-08,7.31,7.64,7.28,7.56,6.733492,24688800,2008-08-08
2008-08-11,7.48,8.2,7.47,8.15,7.258989,58818600,2008-08-11
2008-08-12,8.07,8.445,7.985,8.18,7.285711,43118200,2008-08-12
2008-08-13,8.215,8.23,8.03,8.15,7.258989,27991600,2008-08-13
2008-08-14,8.055,8.55,8.035,8.46,7.535099,33324000,2008-08-14
2008-08-15,8.55,8.59,8.295,8.345,7.43267,20804000,2008-08-15
2008-08-18,8.315,8.44,8.19,8.255,7.352509,21241800,2008-08-18
2008-08-19,8.2,8.28,7.945,7.975,7.10312,23239600,2008-08-19
2008-08-20,8.08,8.08,7.775,7.885,7.022961,22063800,2008-08-20
2008-08-21,7.79,7.885,7.725,7.84,6.98288,15845000,2008-08-21
2008-08-22,7.88,8.085,7.85,8.02,7.143202,13274200,2008-08-22
2008-08-25,7.985,7.995,7.735,7.76,6.911627,15259800,2008-08-25
2008-08-26,7.835,7.84,7.65,7.755,6.907172,13611400,2008-08-26
2008-08-27,7.725,7.875,7.665,7.795,6.9428,16842600,2008-08-27
2008-08-28,7.905,8.0,7.84,7.99,7.116481,10432200,2008-08-28
2008-08-29,7.955,8.025,7.7,7.78,6.92944,19854000,2008-08-29
2008-09-02,7.98,8.41,7.865,7.87,7.009601,27398400,2008-09-02
2008-09-03,7.995,8.12,7.88,7.965,7.094216,19661400,2008-09-03
2008-09-04,7.905,7.915,7.54,7.54,6.715678,25726400,2008-09-04
2008-09-05,7.45,7.625,7.385,7.59,6.760211,19241200,2008-09-05
2008-09-08,7.79,7.805,7.585,7.77,6.920534,27445200,2008-09-08
2008-09-09,7.8,7.85,7.515,7.52,6.697865,23378200,2008-09-09
2008-09-10,7.565,7.665,7.45,7.53,6.706772,15843000,2008-09-10
2008-09-11,7.435,7.83,7.38,7.815,6.960614,33134400,2008-09-11
2008-09-12,7.745,7.835,7.605,7.665,6.827012,20848600,2008-09-12
2008-09-15,7.425,7.795,7.375,7.54,6.715678,25551200,2008-09-15
2008-09-16,7.725,8.08,7.685,8.015,7.138748,43638600,2008-09-16
2008-09-17,7.8,8.0,7.74,7.79,6.938345,30129800,2008-09-17
2008-09-18,7.92,8.085,7.645,8.015,7.138748,38841200,2008-09-18
2008-09-19,8.195,8.265,7.5,8.07,7.187735,37638400,2008-09-19
2008-09-22,7.995,8.01,7.6,7.63,6.795839,22160000,2008-09-22
2008-09-23,7.64,7.765,7.5,7.53,6.706772,19148000,2008-09-23
2008-09-24,7.56,7.67,7.355,7.445,6.631064,16670400,2008-09-24
2008-09-25,7.505,7.53,7.395,7.465,6.648878,19247200,2008-09-25
2008-09-26,7.27,7.5,7.25,7.48,6.662237,19071600,2008-09-26
2008-09-29,7.43,7.54,7.075,7.085,6.310421,41439400,2008-09-29
2008-09-30,7.19,7.465,7.065,7.435,6.622157,27081000,2008-09-30
2008-10-01,7.28,7.53,7.26,7.4,6.590984,20794000,2008-10-01
2008-10-02,7.445,7.495,7.08,7.085,6.310421,19332800,2008-10-02
2008-10-03,7.185,7.315,6.81,6.83,6.083299,27399800,2008-10-03
2008-10-06,6.665,6.79,6.245,6.485,5.776018,42221600,2008-10-06
2008-10-07,6.57,6.615,6.13,6.14,5.468735,38834400,2008-10-07
2008-10-08,5.985,6.36,5.75,5.765,5.134733,50018000,2008-10-08
2008-10-09,5.8,5.935,5.49,5.505,4.903158,35872800,2008-10-09
2008-10-10,5.155,5.625,5.0,5.54,4.934331,65564400,2008-10-10
2008-10-13,5.81,5.95,5.565,5.87,5.228254,33906000,2008-10-13
2008-10-14,6.04,6.115,5.585,5.65,5.032304,34384000,2008-10-14
2008-10-15,5.5,5.53,5.05,5.06,4.506807,30552000,2008-10-15
2008-10-16,5.04,5.32,4.845,5.28,4.702756,40349800,2008-10-16
2008-10-17,5.145,5.355,5.035,5.225,4.653769,28693400,2008-10-17
2008-10-20,5.28,5.57,5.25,5.565,4.9566,25389000,2008-10-20
2008-10-21,5.28,5.525,5.25,5.255,4.68049,20570600,2008-10-21
2008-10-22,5.12,5.245,4.88,4.995,4.448914,29681400,2008-10-22
2008-10-23,5.015,5.15,4.875,5.13,4.569155,35400400,2008-10-23
2008-10-24,4.58,5.035,4.58,4.84,4.310859,27038200,2008-10-24
2008-10-27,4.65,5.0,4.65,4.795,4.270779,20265200,2008-10-27
2008-10-28,4.9,5.45,4.75,5.43,4.836358,31461600,2008-10-28
2008-10-29,5.425,5.905,5.325,5.665,5.045665,40145200,2008-10-29
2008-10-30,5.925,6.35,5.73,6.31,5.62015,39347600,2008-10-30
2008-10-31,6.26,6.59,6.145,6.565,5.847272,37363800,2008-10-31
2008-11-03,6.335,6.575,6.215,6.265,5.58007,25428000,2008-11-03
2008-11-04,6.475,6.485,6.06,6.22,5.539989,47422800,2008-11-04
2008-11-05,6.175,6.25,5.815,5.835,5.19708,20290400,2008-11-05
2008-11-06,5.745,5.875,5.515,5.545,4.938786,26485600,2008-11-06
2008-11-07,5.5,5.62,5.135,5.275,4.698303,34429400,2008-11-07
2008-11-10,5.5,5.5,4.955,5.1,4.542437,35333400,2008-11-10
2008-11-11,4.75,5.135,4.715,4.995,4.448914,52677400,2008-11-11
2008-11-12,4.835,4.955,4.64,4.665,4.154993,45930800,2008-11-12
2008-11-13,4.725,4.73,4.04,4.655,4.146086,69926400,2008-11-13
2008-11-14,4.595,4.62,4.305,4.305,3.83435,26799000,2008-11-14
2008-11-17,4.21,4.545,4.13,4.32,3.84771,31589000,2008-11-17
2008-11-18,4.31,4.435,4.07,4.19,3.731921,31045000,2008-11-18
2008-11-19,4.14,4.275,3.975,3.985,3.549334,28978200,2008-11-19
2008-11-20,3.945,4.015,3.585,3.585,3.193064,35521000,2008-11-20
2008-11-21,3.74,3.95,3.53,3.915,3.486987,42078200,2008-11-21
2008-11-24,4.025,4.25,3.97,4.225,3.763097,34028200,2008-11-24
2008-11-25,4.0,4.3,3.94,4.105,3.656215,42982200,2008-11-25
2008-11-26,4.02,4.415,4.015,4.39,3.910057,20098800,2008-11-26
2008-11-28,4.325,4.47,4.325,4.465,3.976857,6437400,2008-11-28
2008-12-01,4.315,4.335,3.965,3.975,3.540427,21365600,2008-12-01
2008-12-02,4.09,4.27,3.99,4.265,3.798723,22349600,2008-12-02
2008-12-03,4.16,4.37,4.08,4.32,3.84771,22828800,2008-12-03
2008-12-04,4.205,4.705,4.15,4.305,3.83435,37240800,2008-12-04
2008-12-05,4.22,4.575,4.09,4.56,4.061471,25890800,2008-12-05
2008-12-08,4.65,4.875,4.635,4.8,4.275233,24430600,2008-12-08
2008-12-09,4.685,4.86,4.62,4.635,4.128271,24375600,2008-12-09
2008-12-10,4.645,4.835,4.56,4.765,4.244059,19714400,2008-12-10
2008-12-11,4.71,4.77,4.46,4.485,3.99467,21210200,2008-12-11
2008-12-12,4.445,4.72,4.415,4.67,4.159446,20531200,2008-12-12
2008-12-15,4.71,4.755,4.445,4.5,4.00803,28568200,2008-12-15
2008-12-16,4.605,4.865,4.535,4.86,4.328673,32550600,2008-12-16
2008-12-17,4.795,5.015,4.735,4.915,4.37766,30114600,2008-12-17
2008-12-18,5.005,5.185,4.705,4.795,4.270779,23996000,2008-12-18
2008-12-19,4.885,4.98,4.725,4.94,4.399927,29267400,2008-12-19
2008-12-22,4.945,4.98,4.59,4.68,4.168352,16918800,2008-12-22
2008-12-23,4.69,4.8,4.545,4.595,4.092645,18512400,2008-12-23
2008-12-24,4.625,4.67,4.6,4.67,4.159446,3521800,2008-12-24
2008-12-26,4.74,4.75,4.625,4.675,4.163899,5993600,2008-12-26
2008-12-29,4.715,4.715,4.46,4.515,4.021389,11185600,2008-12-29
2008-12-30,4.545,4.68,4.525,4.68,4.168352,13106200,2008-12-30
2008-12-31,4.66,4.76,4.64,4.73,4.212886,9856800,2008-12-31
